title,year,cast,genres
City Beneath the Sea,1971,"['Stuart Whitman', 'Rosemary Forsyth', 'Robert Colbert']","['Adventure', 'Science Fiction']"
Clay Pigeon,1971,"['Telly Savalas', 'Robert Vaughn', 'Burgess Meredith']",['Action']
A Clockwork Orange,1971,"['Malcolm McDowell', 'Patrick Magee', 'Adrienne Corri', 'Miriam Karlin']","['Drama', 'Crime']"
Cold Turkey,1971,"['Dick Van Dyke', 'Bob Newhart', 'Pippa Scott']",['Comedy']
Cry Uncle!,1971,"['Allen Garfield', 'Marcia Jean Kurtz', 'Debbi Morgan']",['Comedy']
Day of the Wolves,1971,"['Richard Egan', 'Martha Hyer', 'Jan Murray']","['Crime', 'Drama', 'Action']"
The Deserter,1971,"['Bekim Fehmiu', 'John Huston', 'Richard Crenna', 'Ricardo Montalbán', 'Chuck Connors']",['Western']
Desperate Characters,1971,"['Shirley MacLaine', 'Kenneth Mars', 'Sada Thompson']",['Drama']
Diamonds Are Forever,1971,"['Sean Connery', 'Jill St. John', 'Charles Gray', 'Lana Wood']","['Action', 'Spy']"
Dirty Harry,1971,"['Clint Eastwood', 'Andrew Robinson', 'Reni Santoni', 'Harry Guardino', 'John Vernon']","['Drama', 'Action', 'Noir', 'Thriller']"
Doc,1971,"['Stacy Keach', 'Faye Dunaway', 'Harris Yulin']",['Western']
Doctors' Wives,1971,"['Dyan Cannon', 'Richard Crenna', 'Gene Hackman']",['Drama']
Dollars,1971,"['Warren Beatty', 'Goldie Hawn', 'Gert Fröbe']","['Crime', 'Comedy', 'War']"
Dracula vs. Frankenstein,1971,"['Lon Chaney, Jr.', 'J. Carrol Naish', 'Regina Carrol']","['Horror', 'Science Fiction']"
"Drive, He Said",1971,"['William Tepper', 'Karen Black', 'Bruce Dern']","['Drama', 'Independent']"
Duel,1971,"['Dennis Weaver', 'Jacqueline Scott', 'Carey Loftin']","['Thriller', 'Action']"
Escape from the Planet of the Apes,1971,"['Roddy McDowall', 'Kim Hunter', 'Sal Mineo']",['Science Fiction']
Evel Knievel,1971,"['George Hamilton', 'Sue Lyon', 'Bert Freed']",['Biography']
Fiddler on the Roof,1971,"['Topol', 'Norma Crane', 'Molly Picon', 'Paul Mann', 'Leonard Frey', 'Rosalind Harris', 'Michele Marsh']","['Musical', 'Historical']"
Fools' Parade,1971,"['James Stewart', 'Kurt Russell', 'George Kennedy']","['Crime', 'Drama', 'Historical']"
Four Rode Out,1971,"['Sue Lyon', 'Leslie Nielsen', 'María Martín']","['Western', 'Adventure']"
The French Connection,1971,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey']","['Crime', 'Drama', 'Action', 'Noir', 'Thriller']"
The Gang That Couldn't Shoot Straight,1971,"['Jerry Orbach', 'Leigh Taylor-Young', 'Robert De Niro']","['Comedy', 'Crime']"
